filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
010-kyle_feat_lil_yachty_-_ispy.mp3,0.39231446,0.16767538,3078.0656697520385,2590.723267447211,6032.747835423784,0.16696849887369314,-88.25545,55.46048,-21.198317,5.8617954,-6.8058834,-3.562684,-13.658746,-5.0143805,-6.7520576,-2.6024516,-11.163851,-4.393213,-7.9060664,-3.985579,-7.541937,3.0497634,-6.9342537,-2.1261032,-3.6786005,-2.0409672, no-data
0104-ABBA-Super.Trouper.mp3,0.38357544,0.07270181,2845.939430925408,2727.066530169777,6046.560597611309,0.14449932803369248,-153.86409,71.7294,-0.6860425,16.389898,-0.74858767,5.5541,2.1567268,2.7609272,-5.7426553,4.831765,-9.933398,4.5988054,-8.831149,1.4570146,-4.817305,-0.60024023,-3.2642772,-0.15886143,-3.4386454,6.904876, no-data
011-kygo_x_selena_gomez_-_it_aint_me.mp3,0.3587635,0.18427005,2519.0106150469924,2625.1246906979222,5400.523494087016,0.11001091071616363,-96.34429,77.490265,5.769187,24.064125,1.3977681,3.6967187,2.0237534,-2.0046313,1.9684536,0.52908987,-2.713301,-1.2786596,-5.8671846,2.877591,-5.3067718,-1.8324736,-8.66625,-4.568451,-9.154699,4.104859, no-data
0118-Boney.M-Ma.Baker.mp3,0.43745393,0.10349552,2770.665398239554,2695.5680452687816,5934.881202088294,0.12962999121710836,-108.917946,70.15819,-5.4678555,22.45082,12.982231,14.151287,2.983361,12.349548,-2.0203335,8.316408,-2.7289176,4.8723016,-2.5412838,1.8662854,-7.1027126,-0.85084283,-6.0778036,1.4385808,-5.713326,0.77229, no-data
012-post_malone_feat_quavo_-_congratulations.mp3,0.37654117,0.26976708,2107.0647114872454,2097.489095980019,4221.980886056248,0.10229541082533994,-50.403797,110.93043,-21.051586,14.8477125,-1.2477373,5.44734,-4.0496492,4.4537625,-4.317498,-0.8494184,0.12572053,1.7446798,2.6603546,-2.102008,-2.3067088,6.614521,-8.084402,7.5331936,-4.0071745,2.4614782, no-data
013-james_arthur_-_say_you_wont_let_go.mp3,0.29381615,0.20912322,1795.7372984510585,2232.2423706869167,3761.4077564909526,0.07203393560054408,-116.29366,116.99181,7.6026926,10.092668,12.852178,10.813593,-9.3947,5.183746,-6.065628,0.22672173,-3.900355,1.3343446,-4.8188186,-2.7830682,-4.8008275,-2.439017,-8.0374975,-0.098298885,-5.7715015,-5.916689, no-data
014-julia_michaels_-_issues.mp3,0.34129918,0.21024409,2447.985821518594,2612.2215991960215,5224.549380927752,0.09927442871479336,-127.64675,88.98828,6.0210814,11.428939,8.508542,-8.369422,7.4379053,-6.5192184,1.2907833,-0.65740716,-12.749153,0.14177135,-8.912545,5.8552775,-2.4985428,6.7840934,3.7332544,5.932583,-3.4728324,2.697068, no-data
0142-Level.42-Lessons.in.love.mp3,0.39337587,0.115137264,2306.858400128957,2650.185543842173,5290.98231880822,0.090182622521825,-111.26873,90.55199,11.421357,24.41604,9.532386,9.737222,-2.6083696,5.572709,-5.2877846,3.9752579,-4.1619244,0.7561215,-1.1444303,1.7916373,0.069651164,3.8588896,-1.5425612,-2.3192387,-3.686635,0.4643568, no-data
0143-Boney.M-Sunny.mp3,0.4186564,0.107810095,2854.8205231498328,2462.2892625271916,5586.329579970734,0.162438590997103,-106.12301,62.95857,-19.435125,28.831371,0.2419928,7.420188,-3.0534425,6.0372534,-3.4058087,5.6069922,-5.957787,0.9983731,-4.3966484,1.8026489,-8.22561,-2.2512493,-6.2674327,1.9598075,-0.29384166,4.747409, no-data
015-sam_hunt_-_body_like_a_back_road.mp3,0.3622766,0.21176258,2019.287480292722,2287.7390183727994,4156.009702296993,0.08629577750053563,-87.01985,107.19354,-4.3004065,20.822361,13.315654,2.2291033,-9.817247,-1.0406413,-6.099319,-1.4494295,-2.7749288,-1.8460276,-5.708623,-2.10188,-5.7470427,4.597824,-10.34371,1.1159878,-3.3038695,2.1735642, no-data
016-kendrick_lamar_-_dna.mp3,0.49337104,0.36335185,2349.941986522287,2701.3884320029783,5474.99969825316,0.06881443361813358,-76.368324,78.7427,16.569693,22.173573,11.986105,8.2984495,-8.7713585,16.578657,-0.7033415,12.786236,1.9772478,6.023124,5.7742395,7.825265,-1.4647455,5.434174,-2.4624155,3.9556556,-2.977537,1.6593729, no-data
0162-Michael.Jackson-Earth.song.mp3,0.35788795,0.15646306,2115.0712886882907,2386.6320038543377,4561.193231929294,0.09257629317739906,-117.319565,97.61865,3.0600078,24.861572,0.83457446,9.338304,0.5796129,3.089395,-6.3497987,6.26582,-6.159239,-0.14459418,-2.8799443,2.106618,-1.2521442,3.5081692,-2.3017898,1.4398962,-4.721389,2.2512524, no-data
017-khalid_-_location.mp3,0.4065418,0.13846618,1629.1780994341962,1885.1152582852112,3081.1172485351562,0.07271200151585822,-241.98238,104.19529,0.36601904,4.8368754,8.58292,-1.9157993,-4.516187,3.6419725,-5.0784607,1.6237514,2.3332062,2.245355,0.60190773,-0.7595287,-1.6395602,4.4813366,-3.3346293,-2.4962938,0.24582703,4.816625, no-data
